"skill_name","function","repo_path","package_status","target_user","business_outcome","agent_tools","automation_hooks","recommended_connections","approval_gates"
"Operator Snapshot","Email / Voice Research","skills/email/operator-snapshot","source-backed-v1","Email strategists, consultants, and founders analyzing a prospect or client","Fetches a founder's public email archive, extracts voice and structure patterns, and drafts one sample campaign in their voice.","Web fetch, email archive scraper, file write","Schedule as a pre-call research step; trigger on new deal creation","Email archive (Mailchimp/Beehiiv/public URL); output destination (Drive or Docs)","Human approval before sharing the snapshot externally or sending any cold outreach derived from it."
"Email Engagement Analysis","Email / Analytics","skills/email/email-engagement-analysis","source-backed-v1","Email strategists and consultants producing client-facing reports","Deep-dive analysis of opens, clicks, CTOR, subject line performance, and list growth — produces a branded PDF report.","ESP API or export, data analysis, PDF/doc generation","Schedule as a monthly or quarterly reporting run","ESP (ActiveCampaign, HubSpot, Klaviyo, Mailchimp, etc.); Drive or Docs for report delivery","Client or internal review before sharing report externally."
"Email Auth Check","Email / Deliverability","skills/email/email-auth-check","ready-for-adaptation","Email strategists auditing a prospect or client domain","Checks SPF, DKIM, and DMARC records for any domain and surfaces gaps that hurt deliverability.","DNS lookup (dig/nslookup), web fetch","Run as part of onboarding audit; trigger on new client domain","DNS resolver; optional reporting destination (Slack, Docs)","None required — read-only DNS check. Flag findings to client before recommending changes."
"Ten Second Test","Positioning / Copy Review","skills/positioning/ten-second-test","ready-for-adaptation","Founders and marketers reviewing landing pages or above-the-fold copy","Determines whether a page communicates what it offers within 10 seconds of landing — scores clarity and surfaces the top fix.","Web fetch, content analysis","Run as part of a pre-launch checklist or audit workflow","Target URL; optional scoring rubric doc","Human review before sharing results with a client."
"April Dunford Positioning","Positioning / Strategy","skills/positioning/april-dunford-positioning","ready-for-adaptation","Founders and consultants running a formal positioning process","Runs the Obviously Awesome positioning canvas — competitive alternatives, unique attributes, target segment, value, and market category.","Structured interview / intake, document write","Use as a workshop or async intake workflow","Discovery notes or transcript; output destination (Docs or Notion)","Founder sign-off before the canvas is used in sales materials or shared externally."
"Hormozi Offer Review","Positioning / Offers","skills/positioning/hormozi-offer-review","ready-for-adaptation","Founders and copywriters pressure-testing an offer before launch","Reviews an offer through the Grand Slam Offer framework — dream outcome, perceived likelihood, time delay, effort/sacrifice — and flags the weakest levers.","Content analysis, structured scoring","Run before any new offer goes live or before a sales page ships","Offer description or copy draft; optional competitor examples","Human review before using scores or recommendations in external copy."
"Judgment Execution Parser","Operations / Triage","skills/operations/judgment-execution-parser","helper-pattern","Founders and operators triaging task lists or routing work","Classifies tasks as judgment (needs a human), execution (can be delegated or automated), or mixed — so work lands in the right lane.","Task list input, structured classification","Run on Asana/Todoist exports; trigger during weekly planning","Task list source (Asana, Todoist, Notion, plain text)","Human review before rerouting or closing tasks based on classification."
"Meeting Prep Brief","Operations / Research","skills/operations/meeting-prep-brief","source-backed-v1","Founders and consultants preparing for external calls","Generates a pre-meeting brief from calendar context, CRM notes, and public research — who they are, what they care about, what to ask.","Calendar API, CRM read, web research","Schedule to run 1-2 hours before each external meeting","Google Calendar or equivalent; CRM (HubSpot or similar); output channel (Slack or Docs)","None required for internal use. Flag if brief includes sensitive data before sharing with a third party."
"Weekly Operator Audit","Operations / Systems","skills/operations/weekly-operator-audit","ready-for-adaptation","Founders and operators doing a weekly review of their own leverage","Audits the last 7 days of work, surfaces repeated tasks, hidden overwhelm, and the highest-leverage systems to build next.","Work log or task history read, structured analysis","Schedule weekly (e.g., Friday afternoon)","Task history source (Asana, Todoist, daily log); output destination (Slack or Docs)","Human review before acting on build recommendations."
"Campaign Postmortem","Email / Analytics","skills/email/campaign-postmortem","ready-for-adaptation","Email strategists and consultants running end-of-campaign reviews","Turns campaign data, team notes, and source docs into a concise retro: what happened, what worked, what broke, and what changes next.","Analytics read, document synthesis, structured output","Run at campaign close or on a monthly cadence","Analytics source (ESP, GA); campaign notes or brief; output destination (Docs)","Metric and stakeholder review before sharing retro externally."
